role,risk_bucket,z_label,f_ijz,sum_s,N_sent
Analyst,risk_constraint,1,0.6663107531900602,111744.876949438,498752
Analyst,risk_constraint,2,-1.1668852270163157,40155.6124263858,180316
Analyst,risk_constraint,3,-2.1761706701971213,17236.056965726,77597
Analyst,risk_external,1,0.6430371047624037,151538.063964696,498752
Analyst,risk_external,2,-1.159219724294702,55212.17634853,180316
Analyst,risk_external,3,-2.134848851588664,24449.911100974,77597
Analyst,risk_legal,1,0.6604774412740368,118131.7056737545,498752
Analyst,risk_legal,2,-1.1664246551656015,42549.9763033938,180316
Analyst,risk_legal,3,-2.162854663411124,18476.9260701245,77597
Analyst,risk_uncertainty,1,0.6734977500009606,117337.212546926,498752
Analyst,risk_uncertainty,2,-1.1564589697699852,42398.1508291233,180316
Analyst,risk_uncertainty,3,-2.2150352594429217,17434.1705931206,77597
CEO,risk_constraint,1,0.41642387759253413,5115.2093772156,22482
CEO,risk_constraint,2,-0.6837553169601123,2846.6936303694,12776
CEO,risk_constraint,3,-2.7154614210650716,525.9383695385,2275
CEO,risk_external,1,0.37062237511618173,6677.599577335,22482
CEO,risk_external,2,-0.620187955520354,3947.153716582,12776
CEO,risk_external,3,-2.7740858395643073,662.114014149,2275
CEO,risk_legal,1,0.4113140801337289,5291.5542333857,22482
CEO,risk_legal,2,-0.6804088105641309,2957.4129556715,12776
CEO,risk_legal,3,-2.7073529896319757,549.3793599166,2275
CEO,risk_uncertainty,1,0.41545151542471537,5397.6615178303,22482
CEO,risk_uncertainty,2,-0.6739088776574754,3024.7713814164,12776
CEO,risk_uncertainty,3,-2.7498459801165085,537.5729368574,2275
CFO,risk_constraint,1,0.3753807251229614,4488.1716989502,19926
CFO,risk_constraint,2,-0.957992434164263,2098.9425659355,9292
CFO,risk_constraint,3,-1.9001336156759985,984.2424845515,4183
CFO,risk_external,1,0.4312327673847797,6030.6792305339995,19926
CFO,risk_external,2,-0.9515938447680167,2770.856872119,9292
CFO,risk_external,3,-2.0370427110821128,1146.971253315,4183
CFO,risk_legal,1,0.37599431904340813,4737.3585400327,19926
CFO,risk_legal,2,-0.9577756456425877,2215.3005939505,9292
CFO,risk_legal,3,-1.90188855859091,1037.0858380825,4183
CFO,risk_uncertainty,1,0.3711343366567905,4669.7786781623,19926
CFO,risk_uncertainty,2,-0.945876707069675,2206.8973003949,9292
CFO,risk_uncertainty,3,-1.912689749485089,1014.7122073556,4183
CIO,risk_constraint,1,4.754331116422895,116.2437858165,497
CIO,risk_external,1,4.908569306665488,135.798065125,497
CIO,risk_legal,1,4.76863334606192,117.9328269864,497
CIO,risk_uncertainty,1,4.842307700184415,127.0267487515,497
COO,risk_constraint,1,-0.7987210379787998,148.0146331613,620
COO,risk_constraint,2,-1.3086883846286166,101.1430892899,424
COO,risk_constraint,3,-0.08365819552848244,229.0810547135,994
COO,risk_external,1,-0.8598238975426897,165.449432305,620
COO,risk_external,2,-1.2550839654504875,123.155242817,424
COO,risk_external,3,-0.06960023400370191,269.13323974,994
COO,risk_legal,1,-0.8154138523296024,152.2635649697,620
COO,risk_legal,2,-1.3386872367007647,102.7868156302,424
COO,risk_legal,3,-0.04978004866040513,242.6159897335,994
COO,risk_uncertainty,1,-0.8158361761909458,154.2714309876,620
COO,risk_uncertainty,2,-1.4281731084261993,96.9145279667,424
COO,risk_uncertainty,3,0.007854223808830963,253.1745225145,994
CTO,risk_constraint,1,-0.40388225505788256,1448.4155193894,6435
CTO,risk_constraint,2,-0.036423815041117844,1776.089458629,7861
CTO,risk_constraint,3,-2.10097714179678,393.5956115618,1798
CTO,risk_external,1,-0.41302303442342814,1926.157317613,6435
CTO,risk_external,2,-0.08095066538317769,2321.018890363,7861
CTO,risk_external,3,-1.971328754686853,590.648223972,1798
CTO,risk_legal,1,-0.4163302160658053,1522.4904937495,6435
CTO,risk_legal,2,-0.021423974452125943,1895.313224754,7861
CTO,risk_legal,3,-2.1090323852131156,413.8876266748,1798
CTO,risk_uncertainty,1,-0.38844320849944636,1537.944900263,6435
CTO,risk_uncertainty,2,-0.03635404512590682,1868.5918538703,7861
CTO,risk_uncertainty,3,-2.1401147307224955,399.8647537531,1798
Chair,risk_constraint,1,-0.7790276055800691,398.5529559105,1682
Chair,risk_constraint,2,0.35963843243384636,747.160712892,3146
Chair,risk_constraint,3,-2.2274581265773183,122.609344481,507
Chair,risk_external,1,-0.8596187058864626,397.811981012,1682
Chair,risk_external,2,0.44073442818707587,814.857757546,3146
Chair,risk_external,3,-2.2552295448366526,126.243804956,507
Chair,risk_legal,1,-0.626380391207724,489.0881577385,1682
Chair,risk_legal,2,0.24754496358578693,789.1101460145,3146
Chair,risk_legal,3,-2.3037468481484287,126.76242826,507
Chair,risk_uncertainty,1,-0.8469183451353341,396.5439685395,1682
Chair,risk_uncertainty,2,0.40860026445015035,794.8759652523,3146
Chair,risk_uncertainty,3,-2.1980077316695827,131.378616372,507
EVP,risk_constraint,1,1.5577791445587237,4.734649665,19
EVP,risk_external,1,1.4328633628234124,4.030334489,19
EVP,risk_legal,1,1.6275348839653823,5.16796872,19
EVP,risk_uncertainty,1,1.6117322340725373,5.067138667,19
Head,risk_constraint,1,-0.9854481706948547,144.565414336,612
Head,risk_constraint,2,-0.9028633394401584,153.4832267663,700
Head,risk_constraint,3,-0.23464517314642738,235.5020217775,1026
Head,risk_external,1,-1.202739345201686,158.878082202,612
Head,risk_external,2,-0.7477028070133741,221.406005982,700
Head,risk_external,3,-0.20412512216062106,309.883025941,1026
Head,risk_legal,1,-1.0048447312371402,151.909103281,612
Head,risk_legal,2,-0.889064266821058,165.212127972,700
Head,risk_legal,3,-0.23113353876595796,251.4706535394,1026
Head,risk_uncertainty,1,-0.9058448020165558,156.6476211442,612
Head,risk_uncertainty,2,-0.8770969418859375,159.8952751689,700
Head,risk_uncertainty,3,-0.3219179282660548,229.1403083225,1026
IR,risk_constraint,1,0.3295018378975805,1815.850578735,7634
IR,risk_constraint,2,-0.8493161607560193,934.7795485573,3926
IR,risk_constraint,3,-2.0009184260994606,371.0481187164,1622
IR,risk_external,1,0.2763481895269472,2072.050171548,7634
IR,risk_external,2,-0.8677210099131629,1077.096222107,3926
IR,risk_external,3,-1.8498066594417892,494.413269314,1622
IR,risk_legal,1,0.32654716854985083,1883.435298108,7634
IR,risk_legal,2,-0.8485771703907041,971.2940973762,3926
IR,risk_legal,3,-1.995666219276557,387.1568412702,1622
IR,risk_uncertainty,1,0.35007667011840804,1862.6664848459,7634
IR,risk_uncertainty,2,-0.861178907333439,942.8253863445,3926
IR,risk_uncertainty,3,-2.025161076079746,369.3773079994,1622
Operator,risk_constraint,1,-0.2117412223010298,5020.292816076,22286
Operator,risk_constraint,2,-0.16984427008397265,5136.8166202192,23107
Operator,risk_constraint,3,-2.251886601034144,1067.637886623,4599
Operator,risk_external,1,-0.2263966232357156,6673.89022684,22286
Operator,risk_external,2,-0.11045479215218298,7106.799561512,23107
Operator,risk_external,3,-2.389058927934171,1262.999847467,4599
Operator,risk_legal,1,-0.21585240430153996,5403.7603152075,22286
Operator,risk_legal,2,-0.16650372064437935,5551.8192337227,23107
Operator,risk_legal,3,-2.249794177490386,1154.051727109,4599
Operator,risk_uncertainty,1,-0.21393801133223045,5188.048957634,22286
Operator,risk_uncertainty,2,-0.1710094430306253,5311.5606149484,23107
Operator,risk_uncertainty,3,-2.242295895582229,1114.3146285495,4599
President,risk_constraint,1,0.6388350406515934,5784.1676681135,25057
President,risk_constraint,2,-1.1518771784901256,2121.7011835983,9322
President,risk_constraint,3,-2.1377996183524717,931.3295556283,4062
President,risk_external,1,0.5879914143451357,7063.553862493,25057
President,risk_external,2,-1.1142676920557422,2713.99621662,9322
President,risk_external,3,-2.089609364190195,1208.952331946,4062
President,risk_legal,1,0.6271792976740465,6064.1705086832,25057
President,risk_legal,2,-1.1312387706092057,2268.6836621428,9322
President,risk_legal,3,-2.1500619143567317,969.7007943058,4062
President,risk_uncertainty,1,0.6618796652511914,6145.0592156356,25057
President,risk_uncertainty,2,-1.1629467151272488,2217.6048433318,9322
President,risk_uncertainty,3,-2.1720058017636066,952.0286331198,4062
SVP,risk_constraint,1,3.192483874387393,24.516273425,100
SVP,risk_external,1,3.1321794349818073,23.020080571,100
SVP,risk_legal,1,3.2436397727259982,25.858169433,100
SVP,risk_uncertainty,1,3.2710559484093653,26.606094306,100
VP,risk_constraint,1,-1.718487517958304,28.179603578000002,138
VP,risk_constraint,2,-0.5052455578751182,71.2672271357,297
VP,risk_constraint,3,-0.0921121842579135,90.606620725,375
VP,risk_external,1,-1.2319948410706814,50.339721732,138
VP,risk_external,2,-0.4772118085331264,86.078918459,297
VP,risk_external,3,-0.4231183621512999,89.004760663,375
VP,risk_legal,1,-1.6831614001801278,30.256004323,138
VP,risk_legal,2,-0.5588792056263086,71.6300507385,297
VP,risk_legal,3,-0.061322338805868785,95.7656019925,375
VP,risk_uncertainty,1,-1.718104121726078,29.227386535,138
VP,risk_uncertainty,2,-0.6318035241232101,68.0261193244,297
VP,risk_uncertainty,3,0.023852290110962376,99.625572162,375
